drug,adr,cohort,n_cases,ror,ror_lower_ci,ror_upper_ci,prr,prr_lower_ci,prr_upper_ci,ic,ic_025,ic_975,is_signal,avg_severity
TELBIVUDINE,HIV associated nephropathy,HBV_MONO,4,637.0714285714286,114.35651656354113,3549.076321125332,594.6666666666666,111.01012903318117,3185.551152172289,7.635818870709306,6.655818870709306,8.615818870709306,True,1.0
LAMIVUDINE,Acquired gene mutation,HBV_MONO,63,383.0770146883684,53.10612761745931,2763.296925726274,373.7544539116964,51.85984686585187,2693.652223466428,2.770678605231707,2.523741816199012,3.017615394264402,True,4.936507936507937
ADEFOVIR,Hypouricaemia,HBV_MONO,13,382.4387755102041,49.94490488397486,2928.4151677436216,374.18801996672215,49.028257433756814,2855.8362384344514,4.7895355824112835,4.245929390110559,5.333141774712008,True,1.6153846153846154
INTERFERON,Haematocrit increased,HBV_MONO,85,267.05533596837944,37.17593284416328,1918.40653382236,261.8992248062016,36.479787633385946,1880.252282261517,2.0121080518009915,1.7995162031387084,2.2246999004632744,True,1.2637362637362637
TENOFOVIR,Anhedonia,HBV_MONO,153,234.48936777508206,32.81169802470105,1675.782324894132,229.5,32.128247359072915,1639.375139619189,1.3125293968851126,1.1540727885280417,1.4709860052421835,True,1.2745098039215685
ADEFOVIR,Glucose urine,HBV_MONO,5,145.11744966442953,16.927149306062233,1244.1004575747554,143.91846921797003,16.839298262297582,1230.0112189602446,4.633416380494002,3.7568777333140844,5.50995502767392,True,1.0
ADEFOVIR,Acquired aminoaciduria,HBV_MONO,5,145.11744966442953,16.927149306062233,1244.1004575747554,143.91846921797003,16.839298262297582,1230.0112189602446,4.633416380494002,3.7568777333140844,5.50995502767392,True,1.0
ADEFOVIR,Benign hepatic neoplasm,HBV_MONO,5,145.11744966442953,16.927149306062233,1244.1004575747554,143.91846921797003,16.839298262297582,1230.0112189602446,4.633416380494002,3.7568777333140844,5.50995502767392,True,3.0
LAMIVUDINE,Tendonitis,HBV_MONO,21,125.59820382663023,16.88672259456142,934.1604752574219,124.58481797056544,16.765046814862007,925.8176872491289,2.7262844858732533,2.2985774210107084,3.1539915507357983,True,4.0
LAMIVUDINE,Viral mutation identified,HBV_MONO,140,125.39721539721539,58.62617053905738,268.21573854802324,118.65220759101472,55.60304142335716,253.1938182846842,2.7230093538403923,2.557359119913603,2.8886595877671817,True,1.1357142857142857
ADEFOVIR,Genotype drug resistance test positive,HBV_MONO,12,117.46010186757215,33.05793327354388,417.3544491295225,115.13477537437603,32.575010642257595,406.9382093558487,4.574522691440434,4.008719427634601,5.140325955246267,True,1.6666666666666667
ADEFOVIR,Microalbuminuria,HBV_MONO,8,116.67453625632378,24.72244892220731,550.631025812341,115.13477537437605,24.5012236724008,541.0348755535891,4.574522691440434,3.8815580458776173,5.26748733700325,True,2.25
TENOFOVIR,Osteopenia,HBV_MONO,143,109.41527718398176,27.09200845427405,441.89056346462564,107.25,26.572996192168088,432.8665994913351,1.3018903416508174,1.1379869076894276,1.4657937756122073,True,1.125
TENOFOVIR,Economic problem,HBV_MONO,68,102.96841511562323,14.293935655620418,741.747743019563,102.00000000000001,14.16593473353586,734.4379453739824,1.3008664793595326,1.0631815668239262,1.538551391895139,True,1.1764705882352942
ADEFOVIR,Azotaemia,HBV_MONO,7,101.91835016835017,21.126939411672726,491.6637426100339,100.74292845257904,20.971863553662253,483.9406668478509,4.533880706943087,3.7930703398450016,5.274691074041172,True,1.0
LAMIVUDINE,Pathogen resistance,HBV_MONO,247,101.16686295503212,60.90273577894157,168.0504829423629,91.58467273431448,55.332737170840595,151.5875177827221,2.7028469240241657,2.5781351104809134,2.827558737567418,True,1.1295546558704452
TELBIVUDINE,Glomerulonephritis,HBV_MONO,3,93.84210526315789,25.164718400705006,349.94791437741225,89.2,25.17349320831846,316.0721451789125,6.105304154010526,4.9736976263988595,7.236910681622193,True,3.0
ADEFOVIR,Coccydynia,HBV_MONO,6,87.21176470588236,17.565217717789693,433.00868940617187,86.35108153078203,17.46424831007888,426.9585011129566,4.481413287048952,3.68124663773978,5.281579936358123,True,2.0
ADEFOVIR,Carbon dioxide decreased,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,1.0
ADEFOVIR,Short stature,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,1.6666666666666667
ADEFOVIR,Hepatitis viral,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,1.0
ADEFOVIR,Parvovirus infection,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,3.6666666666666665
ADEFOVIR,Penicillium infection,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,3.6666666666666665
ADEFOVIR,Blood bilirubin unconjugated increased,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,3.0
ADEFOVIR,Burkholderia cepacia complex infection,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,3.6666666666666665
ADEFOVIR,Lithiasis,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,3.0
ADEFOVIR,Urine calcium increased,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,1.6666666666666667
ADEFOVIR,Intermittent claudication,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,2.3333333333333335
ADEFOVIR,Withdrawal syndrome,HBV_MONO,3,86.77926421404682,9.013169807039565,835.5152358995476,86.35108153078203,8.995009843752086,828.9606583048976,4.481413287048952,3.349806759437285,5.613019814660618,True,5.0
TENOFOVIR,Renal injury,HBV_MONO,378,85.45886169271601,40.438363223608945,180.60120290800901,81.0,38.37511382233917,170.9701769322355,1.2954558835261714,1.194644361550938,1.3962674055014048,True,1.1693121693121693
TENOFOVIR,Bone density decreased,HBV_MONO,409,81.27292252999555,40.343964891130696,163.7243130265261,76.6875,38.117329754276206,154.28606080650871,1.2939815543844475,1.1970657918033543,1.3908973169655408,True,1.1858190709046454
ADEFOVIR,Multiple-drug resistance,HBV_MONO,36,78.66750948166877,42.19185942242006,146.6770399021557,74.01521274067032,40.137418438416326,136.48739580628688,4.422519597995383,4.095852931328716,4.74918626466205,True,1.0
LAMIVUDINE,Hyperpyrexia,HBV_MONO,13,77.50914752822109,10.13483635781151,592.7740457221179,77.12393493415956,10.093109734747575,589.3229634917104,2.6864834778152784,2.1428772855145537,3.230089670116003,True,1.9230769230769231
ADEFOVIR,Albuminuria,HBV_MONO,5,72.55453020134229,14.047620182410968,374.73677280431775,71.95923460898501,13.988898226448393,370.16006276468613,4.4110239591575535,3.534485311977636,5.287562606337471,True,1.0
ADEFOVIR,Osteomalacia,HBV_MONO,41,66.58646616541354,38.400667037237426,115.46042864563567,62.11218145196601,36.273995951457835,106.35506189846457,4.347112195337361,4.041011622035692,4.653212768639029,True,1.7317073170731707
TELBIVUDINE,Multiple-drug resistance,HBV_MONO,8,65.1941391941392,29.188593255453327,145.61427294789928,56.63492063492063,27.779221205248255,115.46451254428152,5.576925181655738,4.883960536092921,6.269889827218554,True,1.0
TENOFOVIR,Osteonecrosis,HBV_MONO,206,63.60109289617486,26.18024882880768,154.50957109073767,61.800000000000004,25.46474744460622,149.98145998926714,1.2873294333633956,1.1507697625622386,1.4238891041645525,True,1.180094786729858
TELBIVUDINE,Exposure during pregnancy,HBV_MONO,11,62.35204081632653,31.010136586140526,125.37116639784257,51.104166666666664,28.402652721201246,91.95042013610866,5.451394299571879,4.860432064199462,6.042356534944296,True,1.1818181818181819
LAMIVUDINE,Complications of transplanted kidney,HBV_MONO,10,59.552877138413685,7.619989658414969,465.42650770482965,59.32610379550736,7.597406934722868,463.26156039760684,2.6558951579818557,2.0360887365888534,3.275701579374858,True,1.0
INTERFERON,Haematocrit abnormal,HBV_MONO,19,58.7925349209984,7.868031671413048,439.3172659682544,58.5421796625627,7.839056061110656,437.1938117200044,1.9549812889216107,1.5053264505353097,2.4046361273079118,True,1.105263157894737
TENOFOVIR,Tooth loss,HBV_MONO,151,57.82336995291768,21.413929701557198,156.13865177062038,56.625,20.989151469339955,152.76418533087232,1.2842084289382036,1.1247058910190564,1.443710966857351,True,1.326797385620915
LAMIVUDINE,Appetite disorder,HBV_MONO,19,56.77019118220835,13.215136531876825,243.87599773112404,56.35979860573199,13.135318319046718,241.82336672212404,2.6490087723966154,2.1993539340103143,3.0986636107829164,True,4.0
TELBIVUDINE,Drug resistance,HBV_MONO,27,56.19886363636363,33.29890342764175,94.84733576532278,31.359375,23.11494287724034,42.54435780409912,4.831010630762049,4.453808454891494,5.208212806632604,True,1.2962962962962963
TELBIVUDINE,Blood creatine phosphokinase increased,HBV_MONO,4,53.023809523809526,17.817815856540893,157.79287422510475,49.55555555555555,17.731920996121087,138.4933469395085,5.413426449372858,4.433426449372858,6.393426449372859,True,2.5
INTERFERON,Neutrophil count abnormal,HBV_MONO,17,52.57976653696498,6.995167623898373,395.2202431342204,52.37984496124031,6.972585867233423,393.49076661169806,1.9465197101734146,1.471149885102202,2.4218895352446275,True,2.2941176470588234
INTERFERON,Irritability,HBV_MONO,49,50.8830220582584,15.851982734847907,163.32858653003396,50.32573339413285,15.694044273975473,161.37838006849088,1.9432519963395036,1.6632519963395036,2.2232519963395037,True,1.346938775510204
TENOFOVIR,Emotional distress,HBV_MONO,190,48.76757532281205,21.62400210334402,109.98317478420705,47.50000000000001,21.08532695341502,107.00569191954483,1.2770738591031017,1.1348805140815394,1.419267204124664,True,1.263157894736842
ADEFOVIR,Drug tolerance,HBV_MONO,5,48.3668903803132,11.531779303767545,202.8616767142728,47.97282307265668,11.491013553779519,200.2775249362984,4.218378881215158,3.3418402340352404,5.094917528395076,True,1.8
ADEFOVIR,Urine output increased,HBV_MONO,5,48.3668903803132,11.531779303767545,202.8616767142728,47.97282307265668,11.491013553779519,200.2775249362984,4.218378881215158,3.3418402340352404,5.094917528395076,True,1.8
LAMIVUDINE,Small for dates baby,HBV_MONO,8,47.6052836052836,5.951424381016062,380.7933835752737,47.46088303640589,5.938342916076379,379.3205361208259,2.6234736802894782,1.9305090347266618,3.3164383258522947,True,4.0
TELBIVUDINE,Blood creatine increased,HBV_MONO,3,46.89473684210526,13.556244227128397,162.22165274136108,44.6,13.612461256905583,146.12787228253097,5.282181916094606,4.15057538848294,6.413788443706272,True,3.0
LAMIVUDINE,Defaecation urgency,HBV_MONO,23,45.88315748339195,13.766313850082923,152.928675284638,45.483346243222314,13.666168942402319,151.3763509144203,2.6165209196477113,2.2078326680958447,3.025209171199578,True,3.888888888888889
INTERFERON,Influenza like illness,HBV_MONO,158,45.87326911499097,24.871428406193537,84.60940742640867,44.256767400406254,24.041235950991215,81.47091375528495,1.9318831822603062,1.7759539545618632,2.087812409958749,True,1.2721518987341771
