adr,hbv_mono_count,hbv_mono_prop,hiv_hbv_count,hiv_hbv_prop,risk_ratio,chi2,p_value
Platelet count increased,118,0.0017018085321180306,2,5.193024729183761e-06,327.7104617958407,,
Palmar-plantar erythrodysaesthesia syndrome,34,0.0004903516109492631,1,2.5965123645918804e-06,188.85009662811157,,
Arthrodesis,50,0.0007211053102195045,2,5.193024729183761e-06,138.8603651677291,,
Hepatitis B DNA assay positive,24,0.00034613054890536213,1,2.5965123645918804e-06,133.30595056101993,,
Platelet count abnormal,21,0.00030286423029219186,1,2.5965123645918804e-06,116.64270674089242,,
Haematocrit abnormal,20,0.0002884421240878018,1,2.5965123645918804e-06,111.08829213418328,,
Polycythaemia vera,18,0.0002595979116790216,1,2.5965123645918804e-06,99.97946292076493,,
Mean cell volume decreased,17,0.00024517580547463153,1,2.5965123645918804e-06,94.42504831405579,,
Lacunar infarction,17,0.00024517580547463153,1,2.5965123645918804e-06,94.42504831405579,,
Pleurisy,17,0.00024517580547463153,1,2.5965123645918804e-06,94.42504831405579,,
Cutaneous T-cell lymphoma,16,0.00023075369927024142,1,2.5965123645918804e-06,88.87063370734661,,
Pancreatic steatosis,16,0.00023075369927024142,1,2.5965123645918804e-06,88.87063370734661,,
Haematocrit increased,92,0.0013268337708038883,6,1.5579074187551282e-05,85.16769063620718,462.55948165922626,1.3332364426552502e-102
Mean cell haemoglobin concentration decreased,15,0.00021633159306585134,1,2.5965123645918804e-06,83.31621910063745,,
Device malfunction,29,0.00041824107992731257,2,5.193024729183761e-06,80.53901179728287,,
Blood pressure systolic abnormal,14,0.00020190948686146126,1,2.5965123645918804e-06,77.7618044939283,,
Hepatitis D,40,0.0005768842481756036,3,7.789537093775641e-06,74.05886142278885,,
Optic nerve disorder,13,0.00018748738065707115,1,2.5965123645918804e-06,72.20738988721912,,
Gastrointestinal toxicity,13,0.00018748738065707115,1,2.5965123645918804e-06,72.20738988721912,,
Graft versus host disease in gastrointestinal tract,13,0.00018748738065707115,1,2.5965123645918804e-06,72.20738988721912,,
Blood bilirubin unconjugated increased,13,0.00018748738065707115,1,2.5965123645918804e-06,72.20738988721912,,
Acquired gene mutation,127,0.0018316074879575414,10,2.59651236459188e-05,70.54106550520639,629.7261829296991,5.732896068053091e-139
Thyroid cancer,25,0.00036055265510975224,2,5.193024729183761e-06,69.43018258386455,,
Blood uric acid decreased,12,0.00017306527445268107,1,2.5965123645918804e-06,66.65297528050996,,
Bone density increased,12,0.00017306527445268107,1,2.5965123645918804e-06,66.65297528050996,,
Hepatic neoplasm,12,0.00017306527445268107,1,2.5965123645918804e-06,66.65297528050996,,
Ulcerative keratitis,11,0.00015864316824829098,1,2.5965123645918804e-06,61.0985606738008,,
Diffuse alveolar damage,11,0.00015864316824829098,1,2.5965123645918804e-06,61.0985606738008,,
Tumour haemorrhage,10,0.0001442210620439009,1,2.5965123645918804e-06,55.54414606709164,,
Defaecation urgency,30,0.0004326631861317027,3,7.789537093775641e-06,55.54414606709163,,
